"날짜","제품명","유형","고객문의","답변내용","담당자"
"2024-10-10","스마트 솔루션 Lite","보안/기타","스마트 솔루션 Lite를 무료로 사용하다가, 나중에 유료 버전으로 전환하면 기존 데이터는 그대로 유지되나요?","네, 그럼요. Lite 버전에서 사용하시던 모든 데이터와 설정은 유료 Pro 버전으로 업그레이드하시면 그대로 안전하게 승계됩니다. 데이터 유실 걱정 없이 언제든지 필요에 따라 상위 플랜으로 전환하실 수 있습니다.","박도윤"
"2024-10-09","하이퍼 공기청정기 SE3","기능/사용법","하이퍼 공기청정기 SE3의 적용 면적은 어느 정도인가요?","하이퍼 공기청정기 SE3의 표준 사용 면적은 33제곱미터(약 10평)입니다. 작은 방이나 원룸 환경에서 사용하기에 가장 적합하며, 더 넓은 공간의 경우 저희 '하이퍼 공기청정기 Max' 모델을 사용하시는 것이 좋습니다.","최지우"
"2024-10-09","무선 카메라 Lite9","연결/설치","무선 카메라 Lite9을 설치했는데, 와이파이 신호가 너무 약하다고 나옵니다.","카메라와 와이파이 공유기 사이의 거리가 멀거나, 콘크리트 벽과 같은 장애물이 많을 경우 신호가 약해질 수 있습니다. 가능하다면 카메라의 위치를 공유기에서 더 가까운 곳으로 옮겨보시거나, 중간에 와이파이 신호를 증폭해주는 '와이파이 증폭기(익스텐더)'를 설치하시는 것을 권장합니다.","정하은"
"2024-10-08","퀀텀 로봇청소기 Pro","AS/교환/환불","퀀텀 로봇청소기 Pro가 자꾸 같은 자리를 맴돕니다.","로봇청소기가 같은 자리를 맴도는 경우, 바닥면의 추락 방지(벼랑) 센서에 먼지가 끼었을 가능성이 높습니다. 부드러운 천으로 제품 하단에 있는 4개의 추락 방지 센서를 깨끗하게 닦아주시면 대부분 해결됩니다. 검은색 바닥이나 특정 패턴의 러그 위에서도 오작동할 수 있습니다.","김민준"
"2024-10-08","고성능 가습기 Go","기능/사용법","고성능 가습기 Go는 시간당 분무량이 얼마나 되나요?","고성능 가습기 Go는 최대 300cc/h의 풍부한 시간당 분무량을 자랑합니다. 넓은 거실 공간도 단시간 내에 쾌적한 습도에 도달할 수 있도록 도와줍니다. 분무량은 3단계로 조절이 가능합니다.","이서연"
"2024-10-07","무선 시스템 Plus","보안/기타","무선 시스템 Plus에 녹화된 영상은 얼마나 오래 저장되나요?","저장 기간은 장착하신 하드디스크의 용량, 연결된 카메라의 수, 녹화 해상도 및 프레임 설정에 따라 달라집니다. 예를 들어 4TB HDD에 4대의 Full HD 카메라를 연속 녹화할 경우, 약 20~30일 정도의 영상이 저장되며, 가장 오래된 영상부터 순차적으로 자동 삭제(덮어쓰기)됩니다.","박도윤"
"2024-10-07","기가 프로세서 Plus9","AS/교환/환불","기가 프로세서 Plus9을 구매했는데, CPU 핀이 휘어진 것 같습니다. 교환 가능한가요?","CPU 자체에는 핀이 없으며, 메인보드의 소켓에 핀이 있습니다. 혹시 메인보드 소켓 핀이 휘었다면, 이는 장착 과정에서의 과실로 인한 손상일 수 있어 무상 교환이 어려울 수 있습니다. CPU를 장착하기 전에 소켓 핀의 상태를 반드시 확인해 주셔야 합니다. CPU 표면에 이상이 있다면 저희 고객센터로 문의 바랍니다.","최지우"
"2024-10-06","무선 솔루션 SE7","기능/사용법","무선 솔루션 SE7은 동시에 몇 명까지 접속해서 사용할 수 있나요?","무선 솔루션 SE7(Standard Edition)은 소규모 팀에 최적화된 버전으로, 최대 5명의 사용자가 동시에 접속하여 사용할 수 있도록 라이선스가 구성되어 있습니다. 더 많은 사용자가 필요하시면 Pro 또는 Enterprise 에디션으로 업그레이드가 필요합니다.","정하은"
"2024-10-06","프로 플랫폼 SE","호환성","프로 플랫폼 SE에서 작업한 파일을 상위 버전인 '프로 플랫폼 Plus'에서 열 수 있나요?","네, 가능합니다. 하위 버전에서 생성된 파일은 상위 버전에서 완벽하게 호환됩니다. SE 버전에서 작업한 모든 프로젝트 파일은 Plus 버전에서 그대로 열어서 이어서 작업하실 수 있습니다. (반대로 Plus 버전 파일은 SE에서 열리지 않을 수 있습니다.)","김민준"
"2024-10-05","네오 이어폰","AS/교환/환불","네오 이어폰의 한쪽 유닛을 잃어버렸는데, 한쪽만 구매할 수 있나요?","네, 가능합니다. 저희 공식 서비스 센터를 통해 분실하신 쪽(왼쪽/오른쪽)의 유닛만 별도로 구매하실 수 있습니다. 새로 구매하신 유닛과 기존에 가지고 계신 유닛 및 충전 케이스를 함께 센터로 보내주시거나 방문해 주시면, 엔지니어가 페어링 및 펌웨어 동기화 작업을 진행해 드립니다.","이서연"
"2024-10-05","퓨처 메모리 Z2","호환성","퓨처 메모리 Z2는 데스크톱용 메모리인가요? 제 PC(인텔 12세대)에 호환될까요?","네, 퓨처 메모리 Z2는 데스크톱 PC용 DDR5 메모리입니다. 인텔 12세대 CPU와 DDR5를 지원하는 메인보드(Z690, B660 등)를 사용하고 계신다면 완벽하게 호환됩니다. 바이오스에서 XMP 설정을 통해 최적의 성능으로 사용하실 수 있습니다.","박도윤"
"2024-10-04","고성능 드론 Ultra4","기능/사용법","고성능 드론 Ultra4의 '웨이포인트' 비행 기능은 어떻게 사용하나요?","앱의 지도 화면에서 원하는 지점들을 순서대로 터치하여 비행 경로(웨이포인트)를 미리 설정할 수 있습니다. 각 지점에서의 고도, 카메라 각도, 호버링 시간 등을 개별적으로 지정할 수 있으며, '시작' 버튼을 누르면 드론이 설정된 경로를 따라 자동으로 비행하며 촬영합니다.","최지우"
"2024-10-04","울트라 충전기 Max9","보안/기타","울트라 충전기 Max9은 KC 인증을 받은 제품인가요?","네, 물론입니다. 울트라 충전기 Max9은 대한민국의 전기용품 안전인증 제도인 KC 인증을 정식으로 통과한 제품입니다. 과전류, 과전압, 과열, 단락 등 각종 보호 회로가 탑재되어 있어 여러 기기를 동시에 충전할 때도 안심하고 사용하실 수 있습니다.","정하은"
"2024-10-03","기가 키보드 Air3","AS/교환/환불","기가 키보드 Air3를 구매했는데, 키보드가 휘어져서 수평이 맞지 않고 덜걱거립니다.","키보드 하우징 휨 문제로 불편을 드려 죄송합니다. 이는 명백한 초기 불량에 해당하므로, 저희 고객센터에 연락 주시면 즉시 새 제품으로 맞교환 처리해 드리겠습니다.","김민준"
"2024-10-03","AI 모니터 Z1","연결/설치","AI 모니터 Z1에 포함된 카메라는 각도 조절이 가능한가요? 탈부착도 되나요?","네, AI 모니터 Z1 상단에 장착된 카메라는 마그네틱 방식으로 탈부착이 가능하며, 사용하지 않을 때는 떼어놓아 프라이버시를 보호할 수 있습니다. 또한, 상하 각도 조절(틸트)이 가능하여 사용자의 눈높이에 맞춰 최적의 화상회의 구도를 잡을 수 있습니다.","이서연"
"2024-10-02","무선 플랫폼 Pro6","기능/사용법","무선 플랫폼 Pro6는 어떤 무선 통신 기술을 지원하나요?","무선 플랫폼 Pro6는 LoRaWAN, NB-IoT, LTE Cat.M1 등 다양한 저전력 장거리 무선 통신(LPWAN) 기술을 통합적으로 지원하는 멀티 프로토콜 게이트웨이입니다. 다양한 종류의 센서와 기기들을 하나의 플랫폼에서 관리하고 제어할 수 있습니다.","박도윤"
"2024-10-02","하이퍼 허브 Air","보안/기타","하이퍼 허브 Air를 사용할 때 발열이 좀 있는데, 괜찮은가요?","네, 허브 제품은 작동 시 내부 칩셋에서 열이 발생하는 것이 정상입니다. 특히 HDMI 포트나 PD 충전 기능을 동시에 사용할 경우 발열이 더 느껴질 수 있습니다. 제품은 KC 안전 인증을 통해 발열 안전성을 검증받았으며, 통풍이 잘 되는 곳에 두고 사용하시면 발열 해소에 도움이 됩니다. 만지기 어려울 정도로 뜨겁지 않다면 정상 범위입니다.","최지우"
"2024-10-01","스마트 플랫폼 X","AS/교환/환불","스마트 플랫폼 X를 구독해서 사용 중인데, 서비스가 너무 느리고 자주 끊깁니다.","서비스 이용에 불편을 드려 대단히 죄송합니다. 고객님의 사용 환경(인터넷 속도, PC 사양)과 함께, 저희 서버에 문제가 있는지 즉시 확인해 보겠습니다. 고객님의 계정 정보를 알려주시면, 저희 기술팀에서 상세한 로그 분석 후 신속하게 원인을 파악하고 해결해 드리겠습니다.","정하은"
"2024-10-01","네오 이어폰 Ultra","기능/사용법","네오 이어폰 Ultra는 착용 감지 기능이 있나요?","네, 있습니다. 네오 이어폰 Ultra는 각 유닛에 근접 센서가 내장되어 있어, 귀에서 이어폰을 빼면 재생 중인 음악이나 영상이 자동으로 일시 정지되고, 다시 착용하면 자동으로 재생됩니다. 배터리를 절약하고 사용 편의성을 높여주는 기능입니다.","김민준"
"2024-09-30","고성능 이어폰 Go3","기능/사용법","고성능 이어폰 Go3는 게임용으로 나왔다고 들었는데, 마이크 성능은 어떤가요? 디스코드 인증을 받았나요?","네, Go3 모델은 탈부착이 가능한 고감도 붐 마이크를 함께 제공하여, 게임 중 선명한 음성 채팅이 가능합니다. 또한, 선명한 통화 품질을 인정받아 디스코드(Discord) 공식 인증을 획득하였습니다. 붐 마이크를 제거하면 일반 음악 감상용으로도 활용할 수 있습니다.","이서연"
"2024-09-30","하이퍼 마우스 Ultra6","AS/교환/환불","하이퍼 마우스 Ultra6의 DPI 버튼이 눌러도 반응이 없습니다.","DPI 버튼이 반응하지 않는다면, 먼저 전용 소프트웨어인 '하이퍼 커넥트'를 실행하여 해당 버튼의 기능이 다른 것으로 변경되어 있지 않은지 확인해 주십시오. 소프트웨어 설정에 문제가 없다면 버튼 자체의 물리적인 고장일 수 있으므로, 저희 서비스센터에서 점검을 받아보시는 것이 좋습니다.","박도윤"
"2024-09-29","퀀텀 드론 Plus","기능/사용법","퀀텀 드론 Plus는 자동 비행 기능이 있나요? 예를 들어 피사체를 돌면서 촬영하는 기능 같은 거요.","네, '퀵샷(QuickShots)'이라는 자동 비행 촬영 기능을 지원합니다. 드로니, 로켓, 서클, 헬릭스 등 다양한 모드를 선택하고 피사체를 지정하면, 드론이 스스로 전문가처럼 비행하며 짧고 멋진 영상을 촬영해줍니다. 초보자도 쉽게 영화 같은 영상을 만들 수 있습니다.","최지우"
"2024-09-29","퓨처 공기청정기 Max","AS/교환/환불","퓨처 공기청정기 Max의 전원 코드를 잃어버렸습니다. 어떤 걸 사야 하나요?","퓨처 공기청정기 Max는 8자 모양의 전원 코드를 사용합니다. 저희 공식 스토어의 '부품/액세서리' 카테고리에서 정품 전원 코드를 구매하실 수 있으며, 시중에서 판매되는 일반적인 8자 코드와도 호환됩니다.","정하은"
"2024-09-28","AI 프로세서 Pro8","기능/사용법","AI 프로세서 Pro8에 내장된 NPU의 성능은 TOPS 단위로 어느 정도인가요?","AI 프로세서 Pro8에 탑재된 3세대 AI 엔진은 최대 34 TOPS(Trillion Operations Per Second)의 연산 성능을 제공합니다. 이를 통해 복잡한 AI 모델을 디바이스 자체에서 빠르고 효율적으로 처리할 수 있습니다.","김민준"
"2024-09-28","울트라 솔루션 Ultra1","호환성","울트라 솔루션 Ultra1은 윈도우 10에서도 설치가 가능한가요?","아니요, 울트라 솔루션 Ultra1은 최신 기술과 최적의 성능을 위해 64비트 윈도우 11 운영체제만 공식적으로 지원합니다. 윈도우 10에서는 설치가 진행되지 않거나, 설치되더라도 정상적인 작동을 보장하기 어렵습니다.","이서연"
"2024-09-27","네오 메모리 Max4","AS/교환/환불","네오 메모리 Max4를 장착했는데, 바이오스에서는 인식되는데 윈도우에서 인식이 안 됩니다.","바이오스에서는 인식되나 윈도우에서 문제가 발생한다면, 윈도우 시스템 파일과의 충돌이나 메모리 자체의 미세한 불량일 수 있습니다. 윈도우의 '메모리 진단 도구'를 실행하여 오류를 점검해 보시고, 다른 PC에 장착하여 테스트해보시는 것을 권장합니다. 문제가 지속되면 저희 고객센터를 통해 교환 서비스를 받아보시기 바랍니다.","박도윤"
"2024-09-27","에코 프로젝터 X5","기능/사용법","에코 프로젝터 X5의 투사 거리가 짧아도 큰 화면을 만들 수 있나요? 단초점 기능이 궁금합니다.","에코 프로젝터 X5는 일반 초점 렌즈를 사용한 모델입니다. 100인치 화면을 만들기 위해서는 약 2.8미터의 투사 거리가 필요합니다. 만약 좁은 공간에서 큰 화면을 원하신다면, 약 1.5미터 거리에서 100인치 화면을 만들 수 있는 저희 '하이퍼 프로젝터 SE (단초점 모델)'을 추천해 드립니다.","최지우"
"2024-09-26","프로 워치 Z5","호환성","프로 워치 Z5는 아이폰과도 연결해서 사용할 수 있나요?","아니요, 프로 워치 Z5는 구글의 Wear OS를 기반으로 하며, 현재 안드로이드 스마트폰과만 연동하여 사용할 수 있습니다. 아이폰(iOS)과는 호환되지 않으니 구매에 참고하시기 바랍니다.","정하은"
"2024-09-26","프로 플랫폼 Plus","보안/기타","프로 플랫폼 Plus의 라이선스는 한 번 구매하면 영구적으로 사용할 수 있는 건가요?","네, 프로 플랫폼 Plus는 한번 구매하시면 해당 버전을 영구적으로 사용하실 수 있는 '영구 라이선스' 방식입니다. 버그 수정 등 마이너 업데이트는 무료로 제공되며, 추후 새로운 기능이 대거 추가되는 메이저 버전(예: Plus2)으로의 업그레이드는 별도의 비용이 발생할 수 있습니다.","김민준"
"2024-09-25","기가 메모리 X","기능/사용법","기가 메모리 X에 있는 방열판은 꼭 달아야 하나요?","네, 기가 메모리 X는 고성능 오버클러킹을 염두에 둔 제품으로, 작동 시 발생하는 열을 효과적으로 해소하기 위해 방열판이 필수적입니다. 방열판을 제거하고 사용할 경우 과열로 인한 성능 저하나 제품 손상의 원인이 될 수 있으며, 이 경우 보증 서비스에 제한이 있을 수 있습니다.","이서연"
"2024-09-25","고성능 이어폰 Pro9","AS/교환/환불","고성능 이어폰 Pro9의 충전 케이스 뚜껑(힌지)이 헐거워졌습니다. 수리가 가능한가요?","충전 케이스의 힌지 마모는 수리가 어려운 부분입니다. 보증 기간(1년) 이내이고, 고객 과실이 아닌 제품 자체의 결함으로 판단될 경우 케이스를 새것으로 교체해 드리고 있습니다. 저희 서비스센터에서 점검을 받아보시는 것을 권장합니다.","박도윤"
"2024-09-24","프로 스피커 Air","연결/설치","프로 스피커 Air와 TV를 블루투스로 연결했는데, 영상과 소리의 싱크가 맞지 않습니다.","블루투스 기술의 특성상 약간의 지연 시간(latency)이 발생할 수 있습니다. 영상과 소리의 싱크가 중요하다면, HDMI(ARC)나 광케이블(Optical)을 이용한 유선 연결을 강력하게 추천합니다. 유선 연결 시에는 지연 시간 없이 완벽한 싱크로 사운드를 즐기실 수 있습니다.","최지우"
"2024-09-24","무선 충전기 Max","기능/사용법","무선 충전기 Max는 충전하면서 스마트폰을 사용해도 괜찮나요?","네, 괜찮습니다. 다만, 충전 중에 게임이나 동영상 스트리밍 등 CPU 사용량이 많은 작업을 할 경우, 스마트폰 자체의 발열과 충전 발열이 더해져 온도가 다소 높아질 수 있습니다. 이 경우 스마트폰의 배터리 보호 기능이 작동하여 충전 속도가 자동으로 느려질 수 있습니다.","정하은"
"2024-09-23","퓨처 태블릿 Go10","호환성","퓨처 태블릿 Go10은 와콤 펜을 지원하나요?","퓨처 태블릿 Go10은 USI 2.0 (Universal Stylus Initiative) 표준을 지원하는 스타일러스 펜과 호환됩니다. 따라서 와콤 기술 기반의 S펜 등 특정 브랜드 전용 펜은 작동하지 않으며, 반드시 USI 2.0 인증을 받은 펜을 사용하셔야 합니다.","김민준"
"2024-09-23","에코 마우스 Ultra","AS/교환/환불","에코 마우스 Ultra 스크롤 휠의 고무 부분이 삭아서 끈적거립니다. 교체할 수 있나요?","스크롤 휠의 고무 부분만 단독으로 교체하는 서비스는 제공되지 않습니다. 해당 증상은 보증 기간(2년) 이내라면 저희 서비스센터에서 제품 교환으로 처리해 드리고 있으니, 고객센터로 연락하여 접수해 주시기 바랍니다.","이서연"
"2024-09-22","퓨처 충전기 Z9","기능/사용법","퓨처 충전기 Z9은 2개의 포트가 있는데, 동시 충전 시 출력이 어떻게 되나요?","퓨처 충전기 Z9은 총 45W 출력을 제공합니다. 상단 C포트와 하단 C포트를 동시에 사용할 경우, 각각 25W와 20W로 출력이 지능적으로 배분됩니다. 이를 통해 갤럭시 스마트폰과 아이폰을 동시에 고속으로 충전할 수 있습니다.","박도윤"
"2024-09-22","에코 공기청정기 Go","AS/교환/환불","에코 공기청정기 Go가 작동 중에 저절로 꺼집니다.","먼저, 타이머 기능이 설정되어 있지 않은지 확인해 주십시오. 타이머 설정이 아닌데도 전원이 꺼진다면, 전원 어댑터나 케이블의 접촉 불량일 수 있습니다. 콘센트와 본체에 전원 케이블을 다시 꽉 꽂아보시고, 그래도 문제가 계속되면 어댑터나 제품 자체의 문제일 수 있으니 점검이 필요합니다.","최지우"
"2024-09-21","네오 카메라 Plus","호환성","네오 카메라 Plus에 소니 E마운트 렌즈를 사용할 수 있나요?","아니요, 네오 카메라 Plus는 저희 고유의 '네오 N-마운트'를 사용합니다. 소니 E마운트 렌즈와는 물리적으로 결합되지 않으며, 현재 공식적인 렌즈 어댑터도 출시되어 있지 않습니다. 반드시 N-마운트 전용 렌즈를 사용하셔야 합니다.","정하은"
"2024-09-21","하이퍼 가습기 Lite","기능/사용법","하이퍼 가습기 Lite는 수조 용량이 얼마나 되나요? 한 번 물을 채우면 얼마나 오래 쓸 수 있나요?","하이퍼 가습기 Lite의 수조 용량은 4리터입니다. 최대 분무량으로 작동 시 약 13시간, 최소 분무량으로 작동 시 약 30시간 동안 연속으로 사용할 수 있어, 밤새 물을 보충할 필요 없이 쾌적한 습도를 유지할 수 있습니다.","김민준"
"2024-09-20","울트라 드론 Go2","AS/교환/환불","울트라 드론 Go2가 이륙하자마자 한쪽으로 기울어지면서 뒤집어집니다.","해당 증상은 프로펠러가 잘못 장착되었을 때 주로 발생합니다. 드론의 각 모터와 프로펠러에는 시계방향(CW)과 반시계방향(CCW) 표시가 되어 있습니다. 모터와 프로펠러의 방향 표시가 일치하도록 올바르게 다시 장착해 보시기 바랍니다. 그래도 문제가 발생하면 모터나 자이로 센서의 문제일 수 있습니다.","이서연"
"2024-09-20","프로 마우스 X1","호환성","프로 마우스 X1은 Mac OS에서 전용 소프트웨어를 사용할 수 있나요?","네, 프로 마우스 X1의 전용 소프트웨어인 '프로 컨트롤 센터'는 윈도우와 Mac OS를 모두 완벽하게 지원합니다. Mac용 버전을 저희 홈페이지에서 다운로드하시면 DPI 설정, 버튼 매핑, 매크로 지정 등 모든 커스터마이징 기능을 동일하게 사용하실 수 있습니다.","박도윤"
"2024-09-19","네오 스피커","기능/사용법","네오 스피커는 스테레오 스피커인가요, 모노 스피커인가요?","네오 스피커는 컴팩트한 사이즈의 모노 스피커입니다. 다만, TWS(True Wireless Stereo) 기능을 지원하여, 2대의 네오 스피커를 무선으로 연결하면 각각 왼쪽과 오른쪽 채널을 담당하는 완벽한 스테레오 스피커로 작동합니다.","최지우"
"2024-09-19","에코 모니터 Pro10","보안/기타","에코 모니터 Pro10은 재활용 소재로 만들어졌다고 하는데, 제품 색상이 균일하지 않을 수도 있나요?","에코 모니터 Pro10의 외관은 재활용 플라스틱을 포함한 복합 재료로 제작되어, 제품마다 미세한 색상 톤이나 패턴의 차이가 있을 수 있습니다. 이는 재활용 소재의 자연스러운 특성이며 제품의 하자가 아니니 안심하고 사용하셔도 좋습니다.","정하은"
"2024-09-18","퓨처 허브 Air","연결/설치","퓨처 허브 Air는 와이파이로 연결하는 제품인가요, 랜선을 꽂아야 하나요?","퓨처 허브 Air는 이름처럼 Wi-Fi(2.4GHz)를 통해 무선으로 공유기에 연결하는 방식입니다. 따라서 랜선이 없는 곳에도 자유롭게 설치할 수 있는 장점이 있습니다. 초기 설정 시 스마트폰 앱을 통해 와이파이 정보를 입력해주시면 됩니다.","김민준"
"2024-09-18","네오 모니터 Lite3","AS/교환/환불","네오 모니터 Lite3를 구매했는데, 화면에 먼지가 들어간 것 같습니다.","화면 내부에 먼지가 유입된 경우, 패널 제조 공정상의 문제일 수 있습니다. 제품 수령 후 14일 이내라면 초기 불량으로 판단하여 새 제품으로 교환해 드리고 있습니다. 먼지가 잘 보이는 흰색 화면을 띄워놓고 사진을 찍어 저희 고객센터에 접수해 주시기 바랍니다.","이서연"
"2024-09-17","울트라 센서 Air3","기능/사용법","울트라 센서 Air3가 측정하는 공기질 데이터는 신뢰할 만한가요?","네, 울트라 센서 Air3는 스위스 Sensirion사의 고정밀 센서 모듈을 탑재하여, 온도, 습도, 휘발성유기화합물(VOCs) 수치를 매우 정확하게 측정합니다. 측정된 데이터를 기반으로 실내 공기질 지수(IAQ)를 계산하여 보여줍니다.","박도윤"
"2024-09-17","울트라 솔루션","배송/결제","울트라 솔루션을 구독하고 있는데, 해외에서도 사용이 가능한가요?","네, 저희 울트라 솔루션은 클라우드 기반으로 라이선스를 인증하므로, 인터넷에 연결되어 있다면 전 세계 어디에서든 로그인하여 사용하실 수 있습니다. 다만, 네트워크 환경에 따라 약간의 속도 차이는 발생할 수 있습니다.","최지우"
"2024-09-16","AI 스피커 Lite","호환성","AI 스피커 Lite에 다른 블루투스 스피커를 연결해서 소리를 같이 나오게 할 수 있나요?","네, 가능합니다. 구글 홈 앱의 '기기 설정'에서 AI 스피커 Lite의 '기본 스피커'를 다른 블루투스 스피커로 지정할 수 있습니다. 이렇게 설정하면, 음성 명령은 AI 스피커 Lite가 알아듣고, 음악 재생은 지정된 블루투스 스피커에서 나오게 됩니다.","정하은"
"2024-09-16","에코 글래스 SE9","기능/사용법","에코 글래스 SE9는 어떤 기능이 있는 제품인가요?","에코 글래스 SE9은 오디오 글래스로, 안경다리에 내장된 스피커를 통해 음악을 듣거나 통화를 할 수 있는 제품입니다. 귀를 막지 않는 오픈 이어 방식이라 주변 소리를 함께 들을 수 있어 안전합니다. AR 기능이나 디스플레이는 없는 모델입니다.","김민준"
"2024-09-15","에코 스피커 Lite","연결/설치","에코 스피커 Lite를 PC 스피커로 사용하고 싶습니다. 어떻게 연결하나요?","두 가지 방법이 있습니다. 1) PC가 블루투스를 지원한다면, 스피커를 페어링 모드로 설정하고 PC의 블루투스 설정에서 연결할 수 있습니다. 2) 블루투스가 없다면, 동봉된 3.5mm AUX 케이블을 이용하여 PC의 헤드폰 단자와 스피커의 AUX 단자를 연결하여 유선으로 사용할 수 있습니다.","이서연"
"2024-09-15","스마트 프로젝터 Plus","AS/교환/환불","스마트 프로젝터 Plus가 사용 중에 저절로 꺼집니다.","프로젝터 내부 온도가 비정상적으로 높아질 경우, 제품 보호를 위해 자동으로 전원이 차단될 수 있습니다. 프로젝터의 통풍구(흡기구/배기구)가 벽이나 다른 물체로 막혀있지 않은지 확인해 주시고, 내부 팬에 먼지가 많이 쌓이지 않았는지 점검 부탁드립니다. 문제가 지속되면 AS가 필요합니다.","박도윤"
"2024-09-14","스마트 시스템 Go7","기능/사용법","스마트 시스템 Go7은 녹화기(NVR)인가요? 하드디스크를 몇 개까지 장착할 수 있나요?","네, 스마트 시스템 Go7은 네트워크 영상 녹화 장비(NVR)입니다. 내부에는 3.5인치 SATA 하드디스크를 최대 2개까지 장착할 수 있으며, 최대 16TB(8TB x 2)의 저장 공간을 구성하여 고화질 CCTV 영상을 장기간 보관할 수 있습니다.","최지우"
"2024-09-14","에코 스피커 Z4","호환성","에코 스피커 Z4는 구글 어시스턴트와 알렉사를 둘 다 지원하나요?","아니요, 에코 스피커 Z4는 아마존 알렉사(Amazon Alexa)만 지원하는 스마트 스피커입니다. '알렉사'라고 부른 후, 음악 재생, 날씨 정보, 스마트홈 기기 제어 등 다양한 음성 명령을 사용할 수 있습니다.","정하은"
"2024-09-13","스마트 프로젝터 Plus2","기능/사용법","스마트 프로젝터 Plus2는 배터리가 내장되어 있나요?","네, 스마트 프로젝터 Plus2는 15,600mAh 용량의 대용량 배터리를 내장하고 있습니다. 완충 시 최대 3시간 동안 전원 연결 없이 독립적으로 영화를 감상할 수 있어, 캠핑이나 야외 파티 등에서 활용하기에 매우 좋습니다.","김민준"
"2024-09-13","프로 프로젝터","AS/교환/환불","프로 프로젝터 렌즈에 스크래치가 생겼습니다. 렌즈만 교체가 가능한가요?","프로젝터의 렌즈는 여러 개의 렌즈가 조합된 복잡한 광학 부품으로, 렌즈 단독 교체는 어렵고 렌즈 어셈블리(뭉치) 전체를 교체해야 합니다. 수리 비용이 상당히 높을 수 있으므로, 저희 서비스센터에서 정확한 견적을 받아보신 후 수리 여부를 결정하시는 것이 좋습니다.","이서연"
"2024-09-12","스마트 플랫폼 Ultra","보안/기타","스마트 플랫폼 Ultra를 도입하면, 저희 회사 데이터는 다른 회사 데이터와 분리되어 관리되나요?","네, 그럼요. 저희 스마트 플랫폼 Ultra는 고객사별로 완벽하게 분리된 독립적인 데이터베이스 인스턴스와 가상 서버 환경을 제공합니다. 다른 고객사의 데이터와 섞일 염려가 전혀 없으며, 고객사의 데이터는 철저한 보안 정책하에 안전하게 관리됩니다.","박도윤"
"2024-09-12","울트라 가습기 Z1","기능/사용법","울트라 가습기 Z1은 복합식 가습기라고 하던데, 물을 끓이는 소리가 시끄럽지 않나요?","울트라 가습기 Z1은 물을 100℃로 팔팔 끓이는 것이 아니라, 세균을 비활성화시킬 수 있는 75℃ 정도로만 데우는 방식이라 일반적인 가열식 가습기에 비해 소음이 현저히 적습니다. '보글보글'하는 약간의 소리는 발생할 수 있으나, 수면에 방해될 정도는 아닙니다.","최지우"
"2024-09-11","에코 노트북 Ultra","호환성","에코 노트북 Ultra는 썬더볼트 4 포트를 지원하나요?","네, 지원합니다. 에코 노트북 Ultra는 2개의 썬더볼트 4 포트를 탑재하고 있습니다. 이를 통해 초고속 데이터 전송, 듀얼 4K 모니터 출력, 외장 GPU 연결, 고속 충전 등 다양한 기능을 케이블 하나로 모두 해결할 수 있습니다.","정하은"
"2024-09-11","고성능 태블릿 Plus3","기능/사용법","고성능 태블릿 Plus3는 외장 메모리를 지원하나요? 최대 몇 기가까지 가능한가요?","네, 고성능 태블릿 Plus3는 MicroSD 카드 슬롯을 통해 저장 공간을 확장할 수 있습니다. 공식적으로 최대 2TB 용량의 MicroSD 카드까지 안정적으로 지원하여, 고화질 영상이나 대용량 파일을 넉넉하게 저장할 수 있습니다.","김민준"
"2024-09-10","퓨처 글래스 Z","AS/교환/환불","퓨처 글래스 Z의 디스플레이 부분에 줄이 생겼습니다. 수리가 가능한가요?","디스플레이에 줄이 생기는 것은 패널 자체의 결함일 가능성이 높습니다. 저희 서비스센터에서 점검 후 제품 불량으로 확인될 경우, 보증 기간(1년) 이내라면 무상으로 수리 또는 교환을 진행해 드리고 있습니다. 고객센터로 접수 부탁드립니다.","이서연"
"2024-09-10","AI 노트북 Ultra","보안/기타","AI 노트북 Ultra의 '시선 추적' 기능은 무엇인가요? 제 시선 정보를 수집하는 건가요?","AI 노트북 Ultra의 '시선 추적' 기능은, IR 카메라를 통해 사용자가 화면을 보고 있는지 아닌지를 판단하는 기능입니다. 사용자가 자리를 비우면 화면을 자동으로 잠그거나, 다른 모니터를 쳐다볼 때 마우스 커서를 해당 모니터로 자동 이동시켜주는 등 편의와 보안을 위한 기능입니다. 시선 정보는 외부로 전송되거나 저장되지 않습니다.","박도윤"
"2024-09-09","스마트 충전기 Plus","기능/사용법","스마트 충전기 Plus는 총 출력이 몇 W인가요?","스마트 충전기 Plus는 2개의 USB-C 포트와 1개의 USB-A 포트에서 총 65W의 출력을 제공합니다. C1 포트는 단독 사용 시 최대 65W 출력이 가능하여 노트북을 충전할 수 있으며, 여러 기기 동시 충전 시에는 45W+20W 또는 45W+15W 등으로 전력을 지능적으로 배분합니다.","최지우"
